what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1298086977857
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1298086977935
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1298086978060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298086978091
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1298086978138
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1298086990228
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1298086990259
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1298086990275
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1298086990322
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1298086990400
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1298086990415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298086994300
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298086997810
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087017669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087029104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087116994
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087126806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087132703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087138912
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1298087138912
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1298087153061
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298087153139
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1298087153561
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1298087153639
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1298087153639
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1298087153639
